GPU available: True
Carga datasets
	Tiny Shakespeare
	Wikitext-2
Longitud corpus train: 10039821 caracteres
Longitud corpus valid: 1053455 caracteres
Longitud corpus test: 1186126 caracteres
Número total de tokens: 2524860
Número total de tokens: 266679
Preparando DataLoader
Se invoca el modelo
TRAIN
Iteracciones: 39449
  [Batch 16100] Loss: 9.2753
  [Batch 16200] Loss: 9.2774
  [Batch 16300] Loss: 9.2778
  [Batch 16400] Loss: 9.2778
  [Batch 16500] Loss: 9.2796
  [Batch 16600] Loss: 9.2666
  [Batch 16700] Loss: 9.2914
  [Batch 16800] Loss: 9.2836
  [Batch 16900] Loss: 9.2732
  [Batch 17000] Loss: 9.2681
  [Batch 17100] Loss: 9.2846
  [Batch 17200] Loss: 9.2736
  [Batch 17300] Loss: 9.2688
  [Batch 17400] Loss: 9.2722
  [Batch 17500] Loss: 9.2622
  [Batch 17600] Loss: 9.2750
  [Batch 17700] Loss: 9.2696
  [Batch 17800] Loss: 9.2796
  [Batch 17900] Loss: 9.2761
  [Batch 18000] Loss: 9.2834
  [Batch 18100] Loss: 9.2713
  [Batch 18200] Loss: 9.2756
  [Batch 18300] Loss: 9.2725
  [Batch 18400] Loss: 9.2657
  [Batch 18500] Loss: 9.2664
  [Batch 18600] Loss: 9.2744
  [Batch 18700] Loss: 9.2552
  [Batch 18800] Loss: 9.2805
  [Batch 18900] Loss: 9.2698
  [Batch 19000] Loss: 9.2671
  [Batch 19100] Loss: 9.2598
  [Batch 19200] Loss: 9.2624
  [Batch 19300] Loss: 9.2590
  [Batch 19400] Loss: 9.2570
  [Batch 19500] Loss: 9.2710
  [Batch 19600] Loss: 9.2564
  [Batch 19700] Loss: 9.2525
  [Batch 19800] Loss: 9.2638
  [Batch 19900] Loss: 9.2479
  [Batch 20000] Loss: 9.2528
  [Batch 20100] Loss: 9.2610
  [Batch 20200] Loss: 9.2574
  [Batch 20300] Loss: 9.2565
  [Batch 20400] Loss: 9.2571
  [Batch 20500] Loss: 9.2601
  [Batch 20600] Loss: 9.2510
  [Batch 20700] Loss: 9.2570
  [Batch 20800] Loss: 9.2571
  [Batch 20900] Loss: 9.2467
  [Batch 21000] Loss: 9.2539
  [Batch 21100] Loss: 9.2476
  [Batch 21200] Loss: 9.2485
  [Batch 21300] Loss: 9.2491
  [Batch 21400] Loss: 9.2490
  [Batch 21500] Loss: 9.2424
  [Batch 21600] Loss: 9.2347
  [Batch 21700] Loss: 9.2282
  [Batch 21800] Loss: 9.2490
  [Batch 21900] Loss: 9.2633
  [Batch 22000] Loss: 9.2423
  [Batch 22100] Loss: 9.2459
  [Batch 22200] Loss: 9.2424
  [Batch 22300] Loss: 9.2350
  [Batch 22400] Loss: 9.2396
  [Batch 22500] Loss: 9.2316
  [Batch 22600] Loss: 9.2364
  [Batch 22700] Loss: 9.2350
  [Batch 22800] Loss: 9.2363
  [Batch 22900] Loss: 9.2382
  [Batch 23000] Loss: 9.2292
  [Batch 23100] Loss: 9.2291
  [Batch 23200] Loss: 9.2343
  [Batch 23300] Loss: 9.2239
  [Batch 23400] Loss: 9.2226
  [Batch 23500] Loss: 9.2353
  [Batch 23600] Loss: 9.2302
  [Batch 23700] Loss: 9.2337
  [Batch 23800] Loss: 9.2245
  [Batch 23900] Loss: 9.2332
  [Batch 24000] Loss: 9.2100
  [Batch 24100] Loss: 9.2268
  [Batch 24200] Loss: 9.2329
  [Batch 24300] Loss: 9.2309
  [Batch 24400] Loss: 9.2388
  [Batch 24500] Loss: 9.2205
  [Batch 24600] Loss: 9.2125
  [Batch 24700] Loss: 9.2287
  [Batch 24800] Loss: 9.2151
  [Batch 24900] Loss: 9.2044
  [Batch 25000] Loss: 9.2208
  [Batch 25100] Loss: 9.2143
  [Batch 25200] Loss: 9.2251
  [Batch 25300] Loss: 9.2120
  [Batch 25400] Loss: 9.2175
  [Batch 25500] Loss: 9.2062
  [Batch 25600] Loss: 9.2074
  [Batch 25700] Loss: 9.2189
  [Batch 25800] Loss: 9.2096
  [Batch 25900] Loss: 9.2056
  [Batch 26000] Loss: 9.2206
  [Batch 26100] Loss: 9.2076
  [Batch 26200] Loss: 9.2097
  [Batch 26300] Loss: 9.2008
  [Batch 26400] Loss: 9.2015
  [Batch 26500] Loss: 9.2024
  [Batch 26600] Loss: 9.1938
  [Batch 26700] Loss: 9.2023
  [Batch 26800] Loss: 9.2021
  [Batch 26900] Loss: 9.2049
  [Batch 27000] Loss: 9.1898
  [Batch 27100] Loss: 9.1869
  [Batch 27200] Loss: 9.1842
  [Batch 27300] Loss: 9.1801
  [Batch 27400] Loss: 9.1966
  [Batch 27500] Loss: 9.1733
  [Batch 27600] Loss: 9.2025
  [Batch 27700] Loss: 9.1897
  [Batch 27800] Loss: 9.1918
  [Batch 27900] Loss: 9.1927
  [Batch 28000] Loss: 9.1678
  [Batch 28100] Loss: 9.1807
  [Batch 28200] Loss: 9.1882
  [Batch 28300] Loss: 9.1845
  [Batch 28400] Loss: 9.1885
  [Batch 28500] Loss: 9.1813
  [Batch 28600] Loss: 9.1723
  [Batch 28700] Loss: 9.1760
  [Batch 28800] Loss: 9.1913
  [Batch 28900] Loss: 9.1838
  [Batch 29000] Loss: 9.1647
  [Batch 29100] Loss: 9.1655
  [Batch 29200] Loss: 9.1748
  [Batch 29300] Loss: 9.1744
  [Batch 29400] Loss: 9.1654
  [Batch 29500] Loss: 9.1712
  [Batch 29600] Loss: 9.1539
  [Batch 29700] Loss: 9.1535
  [Batch 29800] Loss: 9.1583
  [Batch 29900] Loss: 9.1739
  [Batch 30000] Loss: 9.1563
  [Batch 30100] Loss: 9.1559
  [Batch 30200] Loss: 9.1520
  [Batch 30300] Loss: 9.1601
  [Batch 30400] Loss: 9.1544
  [Batch 30500] Loss: 9.1630
  [Batch 30600] Loss: 9.1598
  [Batch 30700] Loss: 9.1549
  [Batch 30800] Loss: 9.1450
  [Batch 30900] Loss: 9.1449
  [Batch 31000] Loss: 9.1358
  [Batch 31100] Loss: 9.1487
  [Batch 31200] Loss: 9.1489
  [Batch 31300] Loss: 9.1418
  [Batch 31400] Loss: 9.1409
  [Batch 31500] Loss: 9.1450
  [Batch 31600] Loss: 9.1645
